NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM SNAP %,TD
Jameis Winston,QB,TB,2,,65,53,64,72,15,72,67,29,,,,76,71,61,67,83,795,61,72.7,0
Tom Brady,QB,NE,,81,76,65,70,74,68,74,86,,61,57,70,68,61,60,67,80,1118,69,98,0
Andy Dalton,QB,CIN,2,61,64,61,61,66,,51,56,39,51,55,61,64,45,41,86,79,941,58,97.3,0
Brandin Cooks,WR,NE,1,67,65,58,64,72,66,70,82,,68,56,62,68,60,57,65,78,1058,66,92.7,7
Eli Manning,QB,NYG,,56,56,69,80,70,54,59,,64,66,69,57,,80,88,72,78,1018,67,93.9,0
Tyler Kroft,TE,CIN,4,12,29,60,53,62,,49,52,39,51,47,60,59,45,47,86,78,829,51,85.7,7
Joe Flacco,QB,BAL,,66,68,35,69,66,73,65,29,75,,59,67,64,64,78,73,76,1027,64,94.6,0
A.J. Green,WR,CIN,,55,62,57,55,57,,44,53,15,49,48,56,62,43,45,81,75,857,53,88.6,8
Brandon LaFell,WR,CIN,,57,57,56,56,61,,46,51,38,48,38,45,57,52,50,76,75,863,53,89.2,3
Case Keenum,QB,MIN,3,,65,74,56,44,77,66,85,,61,78,73,66,73,58,65,75,1016,67,90.9,0
Travis Rudolph,WR,NYG,,,,,,,23,33,,4,,27,33,,,,58,75,253,36,23.3,0
Matt Ryan,QB,ATL,,59,58,68,75,,57,57,66,60,65,62,64,53,74,71,65,72,1026,64,100,0
Drew Stanton,QB,ARI,,,,,,,,23,,77,80,,,,,,69,71,320,64,28.5,0
Larry Fitzgerald,WR,ARI,,74,62,77,82,57,58,46,,68,80,57,72,63,62,84,61,71,1074,67,95.6,6
Mike Evans,WR,TB,1,,55,47,59,68,64,63,62,52,,55,61,66,58,51,53,70,884,58,80.8,5
David Fales,QB,MIA,,,,,,,,,,,,,,4,,,,68,72,36,6.9,0
Dak Prescott,QB,DAL,1,74,71,47,71,74,,63,68,67,63,60,55,68,63,65,76,68,1053,65,98.6,0
Jason Witten,TE,DAL,,74,71,47,71,73,,63,68,66,62,60,55,68,63,65,76,68,1050,65,98.3,5
Jehu Chesson,WR,KC,,,,,,,,,,4,,7,1,,2,,4,67,85,7,8.8,0
Tyrod Taylor,QB,BUF,2,77,54,65,60,70,,68,69,75,37,40,70,46,,63,70,67,931,62,88.2,0
Adam Thielen,WR,MIN,1,65,63,63,55,68,72,65,78,,55,73,66,60,69,56,60,66,1034,64,92.5,4
Philip Rivers,QB,LAC,,59,58,73,57,78,65,58,56,,69,57,68,70,57,64,73,66,1028,64,96.6,0
DeShone Kizer,QB,CLE,,66,52,77,51,42,,35,59,,74,55,67,63,58,64,59,65,887,59,83,0
Hunter Sharp,WR,NYG,,,,,,,,29,,,,,,,,,14,65,108,36,10,1
Marcus Mariota,QB,TEN,2,64,68,72,23,,69,72,,52,90,65,58,54,60,64,69,65,945,63,92.3,0
Mike Wallace,WR,BAL,,47,48,50,52,34,70,5,,58,,41,50,47,40,49,58,65,714,47,65.7,4
Paxton Lynch,QB,DEN,,,,,,,,,,,,,33,,,,,65,98,49,9.3,0
Sean Mannion,QB,LAR,,5,,,,,,4,,13,,,,,,15,,65,102,20,9.8,0
Jacoby Brissett,QB,IND,2,9,71,66,60,76,58,67,74,66,59,,63,69,71,54,62,64,989,61,96,0
Jack Doyle,TE,IND,,46,70,66,48,,58,54,71,62,58,,61,64,71,54,62,64,909,60,88.3,4
Jimmy Garoppolo,QB,SF,1,,,,,,,,,,,,3,75,73,70,68,64,353,58,32,0
Marquis Bundy,WR,NYG,,,,,,,,,,,,,,,,,,64,64,64,5.9,0
Pharoh Cooper,WR,LAR,,22,4,9,9,12,4,11,,13,10,5,11,10,7,16,1,64,208,13,20,0
Derrick Henry,RB,TEN,1,18,30,30,18,11,40,30,,19,28,16,32,24,13,16,23,63,411,25,40.1,1
DeVante Parker,WR,MIA,1,,63,58,47,3,,,,54,51,57,56,56,61,64,45,63,678,52,65.2,1
Keenan Allen,WR,LAC,1,53,49,61,49,71,55,47,52,,59,53,59,64,49,47,66,63,897,56,84.3,6
Kenny Stills,WR,MIA,,,60,62,47,51,60,72,64,65,57,57,56,54,61,64,49,63,942,58,90.6,6
Patrick Mahomes,QB,KC,1,,,,,,,,,,,,,,,,,63,63,63,6.5,0
Demetrius Harris,TE,KC,,26,24,22,40,55,18,31,,20,,19,16,19,28,28,38,62,487,30,50.2,1
