Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
George Kittle,SFO,TE,31,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,94.0,78.0,1106.0,14.18,8.0,0.0,0.0,8,0.0,0.0,236.6,1
Brock Bowers,LVR,TE,22,17,16,0.0,0.0,0.0,0.0,0.0,5.0,13.0,2.6,0.0,153.0,112.0,1194.0,10.66,5.0,0.0,0.0,5,0.0,0.0,262.7,2
Trey McBride,ARI,TE,25,16,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,147.0,111.0,1146.0,10.32,2.0,0.0,0.0,4,0.0,0.0,249.8,3
Jonnu Smith,MIA,TE,29,17,6,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-0.5,0.0,111.0,88.0,884.0,10.05,8.0,2.0,1.0,8,0.0,0.0,222.3,4
Mark Andrews,BAL,TE,29,17,13,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.25,0.0,69.0,55.0,673.0,12.24,11.0,0.0,0.0,11,0.0,0.0,188.8,5
Sam LaPorta,DET,TE,23,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,83.0,60.0,726.0,12.1,7.0,0.0,0.0,7,0.0,0.0,174.6,6
Tucker Kraft,GNB,TE,24,17,17,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,70.0,50.0,707.0,14.14,7.0,1.0,1.0,7,1.0,0.0,163.3,7
Zach Ertz,WAS,TE,34,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,91.0,66.0,654.0,9.91,7.0,1.0,0.0,7,2.0,0.0,177.4,8
Pat Freiermuth,PIT,TE,26,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,78.0,65.0,653.0,10.05,7.0,3.0,2.0,7,0.0,0.0,168.3,9
Travis Kelce,KAN,TE,35,16,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,133.0,97.0,823.0,8.48,3.0,2.0,1.0,3,0.0,0.0,195.4,10
David Njoku,CLE,TE,28,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,64.0,505.0,7.89,5.0,0.0,0.0,5,2.0,0.0,148.5,11
Kyle Pitts,ATL,TE,24,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,74.0,47.0,602.0,12.81,4.0,0.0,0.0,4,0.0,0.0,131.2,12
Isaiah Likely,BAL,TE,24,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,42.0,477.0,11.36,6.0,1.0,1.0,6,0.0,0.0,123.7,13
Cade Otton,TAM,TE,25,14,14,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,87.0,59.0,600.0,10.17,4.0,2.0,1.0,4,0.0,0.0,140.6,14
Hunter Henry,NWE,TE,30,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,97.0,66.0,674.0,10.21,2.0,0.0,0.0,2,0.0,0.0,145.4,15
Taysom Hill,NOR,TE,34,8,8,2.0,4.0,21.0,0.0,1.0,39.0,278.0,7.13,6.0,31.0,23.0,187.0,8.13,0.0,1.0,1.0,6,0.0,0.0,102.3,16
Mike Gesicki,CIN,TE,29,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,83.0,65.0,665.0,10.23,2.0,1.0,1.0,2,0.0,0.0,141.5,17
Noah Gray,KAN,TE,25,17,10,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,49.0,40.0,437.0,10.93,5.0,0.0,0.0,5,0.0,0.0,113.3,19
Juwan Johnson,NOR,TE,28,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,66.0,50.0,548.0,10.96,3.0,2.0,0.0,3,0.0,0.0,122.8,20
Cole Kmet,CHI,TE,25,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,55.0,47.0,474.0,10.09,4.0,0.0,0.0,4,1.0,0.0,120.4,18
Tyler Conklin,NYJ,TE,29,16,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,51.0,449.0,8.8,4.0,0.0,0.0,4,1.0,0.0,121.9,22
Foster Moreau,NOR,TE,27,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,32.0,413.0,12.91,5.0,0.0,0.0,5,0.0,0.0,103.3,21
Dalton Schultz,HOU,TE,28,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,85.0,53.0,532.0,10.04,2.0,0.0,0.0,2,0.0,0.0,118.2,23
Austin Hooper,NWE,TE,30,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,59.0,45.0,476.0,10.58,3.0,2.0,1.0,3,0.0,0.0,108.6,24
Dallas Goedert,PHI,TE,29,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,52.0,42.0,496.0,11.81,2.0,2.0,0.0,2,0.0,0.0,103.6,25
Chigoziem Okonkwo,TEN,TE,25,17,11,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,0.0,70.0,52.0,479.0,9.21,2.0,2.0,1.0,2,1.0,0.0,113.6,26
Will Dissly,LAC,TE,28,15,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,50.0,481.0,9.62,2.0,0.0,0.0,2,0.0,0.0,110.1,27
Dalton Kincaid,BUF,TE,25,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,75.0,44.0,448.0,10.18,2.0,1.0,0.0,2,0.0,0.0,100.8,28
Noah Fant,SEA,TE,27,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,48.0,500.0,10.42,1.0,0.0,0.0,1,0.0,0.0,104.0,29
Jordan Akins,CLE,TE,32,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,40.0,390.0,9.75,2.0,1.0,0.0,2,0.0,0.0,91.0,31
Brenton Strange,JAX,TE,24,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,53.0,40.0,411.0,10.28,2.0,1.0,1.0,2,0.0,0.0,91.1,30
AJ Barner,SEA,TE,22,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,38.0,30.0,245.0,8.17,4.0,0.0,0.0,4,0.0,0.0,78.5,32
T.J. Hockenson,MIN,TE,27,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,62.0,41.0,455.0,11.1,0.0,0.0,0.0,0,0.0,0.0,86.5,33
Jake Ferguson,DAL,TE,25,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,86.0,59.0,494.0,8.37,0.0,4.0,2.0,0,0.0,0.0,104.4,34
Josh Oliver,MIN,TE,27,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,22.0,258.0,11.73,3.0,0.0,0.0,3,0.0,0.0,65.8,35
Evan Engram,JAX,TE,30,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64.0,47.0,365.0,7.77,1.0,1.0,1.0,1,1.0,0.0,89.5,36
Ja'Tavion Sanders,CAR,TE,21,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,33.0,342.0,10.36,1.0,1.0,0.0,1,0.0,0.0,73.2,37
Theo Johnson,NYG,TE,23,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,43.0,29.0,331.0,11.41,1.0,0.0,0.0,1,0.0,0.0,68.1,38
Dawson Knox,BUF,TE,28,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,33.0,22.0,311.0,14.14,1.0,0.0,0.0,1,0.0,0.0,59.1,39
Grant Calcaterra,PHI,TE,26,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,24.0,298.0,12.42,1.0,0.0,0.0,1,0.0,0.0,59.8,40
Colby Parkinson,LAR,TE,25,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,49.0,30.0,294.0,9.8,1.0,0.0,0.0,1,0.0,0.0,65.4,41
Tommy Tremble,CAR,TE,24,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,23.0,234.0,10.17,2.0,1.0,1.0,2,0.0,0.0,56.4,42
Josh Whyle,TEN,TE,25,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.0,28.0,248.0,8.86,1.0,0.0,0.0,1,1.0,0.0,60.8,43
Nick Vannett,TEN,TE,31,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,17.0,135.0,7.94,3.0,0.0,0.0,3,0.0,0.0,48.5,44
Adam Trautman,DEN,TE,27,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,13.0,188.0,14.46,2.0,0.0,0.0,2,0.0,0.0,43.8,45
Nate Adkins,DEN,TE,25,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,14.0,115.0,8.21,3.0,0.0,0.0,3,0.0,0.0,43.5,47
Luke Schoonmaker,DAL,TE,26,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36.0,27.0,241.0,8.93,1.0,0.0,0.0,1,0.0,0.0,57.1,46
Elijah Higgins,ARI,TE,24,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,20.0,172.0,8.6,2.0,0.0,0.0,2,0.0,0.0,49.2,48
Johnny Mundt,MIN,TE,30,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,27.0,19.0,142.0,7.47,2.0,0.0,0.0,2,0.0,0.0,45.2,49
Darnell Washington,PIT,TE,23,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,25.0,19.0,200.0,10.53,1.0,0.0,0.0,1,0.0,0.0,45.0,50
Payne Durham,TAM,TE,24,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,11.0,115.0,10.45,2.0,1.0,0.0,2,0.0,0.0,34.5,51
Brock Wright,DET,TE,26,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,13.0,100.0,7.69,2.0,0.0,0.0,2,0.0,0.0,35.0,52
Mo Alie-Cox,IND,TE,31,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,12.0,147.0,12.25,1.0,0.0,0.0,1,0.0,0.0,32.7,53
