Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Ja'Marr Chase,CIN,WR,24,17,16,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.67,0.0,175.0,127.0,1708.0,13.45,17.0,0.0,0.0,17,0.0,0.0,403.0,1
Justin Jefferson,MIN,WR,25,17,17,1.0,1.0,22.0,0.0,0.0,1.0,3.0,3.0,0.0,154.0,103.0,1533.0,14.88,10.0,1.0,0.0,10,0.0,0.0,317.5,2
Amon-Ra St. Brown,DET,WR,25,17,17,1.0,1.0,7.0,1.0,0.0,2.0,6.0,3.0,0.0,141.0,115.0,1263.0,10.98,12.0,1.0,1.0,12,0.0,0.0,316.2,3
Brian Thomas,JAX,WR,22,17,16,0.0,0.0,0.0,0.0,0.0,6.0,48.0,8.0,0.0,133.0,87.0,1282.0,14.74,10.0,0.0,0.0,10,2.0,0.0,284.0,4
Terry McLaurin,WAS,WR,29,17,17,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,117.0,82.0,1096.0,13.37,13.0,1.0,1.0,13,0.0,0.0,267.8,5
Drake London,ATL,WR,23,17,17,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,158.0,100.0,1271.0,12.71,9.0,0.0,0.0,9,0.0,0.0,280.8,6
Mike Evans,TAM,WR,31,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,110.0,74.0,1004.0,13.57,11.0,0.0,0.0,11,0.0,0.0,240.4,7
Malik Nabers,NYG,WR,21,15,13,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.4,0.0,170.0,109.0,1204.0,11.05,7.0,1.0,0.0,7,1.0,0.0,273.6,8
CeeDee Lamb,DAL,WR,25,15,15,0.0,0.0,0.0,0.0,0.0,14.0,70.0,5.0,0.0,152.0,101.0,1194.0,11.82,6.0,1.0,1.0,6,1.0,0.0,263.4,9
Courtland Sutton,DEN,WR,29,17,13,2.0,2.0,30.0,1.0,0.0,0.0,0.0,,0.0,135.0,81.0,1081.0,13.35,8.0,1.0,1.0,8,0.0,0.0,240.3,10
