,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,Tgt_Binned,Att_Rush_Binned
0,SAQUON BARKLEY,PHI,27.0,16.0,16.0,345.0,2005.0,5.81,13.0,43.0,33.0,278.0,8.42,2.0,2.0,1.0,15.0,3.0,0.0,355.3,737,50,69.2,,278.5,0.8072463768115942,72.8,1.6930232558139535,2.6875,2.206060606060606,0.482089552238806,2024,"(40, 50]","(338, 364]"
1,DERRICK HENRY,BAL,30.0,17.0,17.0,325.0,1921.0,5.91,16.0,22.0,19.0,193.0,10.16,2.0,3.0,1.0,18.0,0.0,0.0,336.4,635,37,57.2,,288.1,0.8864615384615385,50.3,2.286363636363636,1.2941176470588236,2.647368421052632,0.529763779527559,2024,"(20, 30]","(312, 338]"
2,JAHMYR GIBBS,DET,22.0,17.0,4.0,250.0,1412.0,5.65,16.0,63.0,52.0,517.0,9.94,4.0,1.0,1.0,20.0,0.0,0.0,362.9,639,37,55.8,,237.2,0.9488,127.7,2.026984126984127,3.7058823529411766,2.455769230769231,0.5679186228482003,2024,"(60, 70]","(234, 260]"
5,BIJAN ROBINSON,ATL,22.0,17.0,17.0,304.0,1456.0,4.79,14.0,72.0,61.0,431.0,7.07,1.0,1.0,0.0,15.0,1.0,0.0,341.7,815,50,75.3,,229.6,0.7552631578947369,110.1,1.5291666666666666,4.235294117647059,1.8049180327868848,0.4192638036809816,2024,"(70, 80]","(286, 312]"
6,JOSH JACOBS,GNB,26.0,17.0,17.0,301.0,1329.0,4.42,15.0,43.0,36.0,342.0,9.5,1.0,4.0,3.0,16.0,0.0,0.0,293.1,678,39,62.5,,222.9,0.740531561461794,76.2,1.772093023255814,2.5294117647058822,2.1166666666666667,0.4323008849557522,2024,"(40, 50]","(286, 312]"
9,KYREN WILLIAMS,LAR,24.0,16.0,16.0,316.0,1299.0,4.11,14.0,40.0,34.0,182.0,5.35,2.0,5.0,3.0,16.0,0.0,0.0,272.1,888,55,81.5,,213.9,0.6768987341772152,64.2,1.605,2.5,1.8882352941176472,0.3064189189189189,2024,"(30, 40]","(312, 338]"
10,JAMES COOK,BUF,25.0,16.0,16.0,207.0,1009.0,4.87,16.0,38.0,32.0,258.0,8.06,2.0,1.0,0.0,18.0,0.0,0.0,266.7,485,30,44.6,,196.9,0.9512077294685992,69.8,1.8368421052631576,2.375,2.18125,0.5498969072164949,2024,"(30, 40]","(182, 208]"
13,JONATHAN TAYLOR,IND,25.0,14.0,13.0,303.0,1431.0,4.72,11.0,31.0,18.0,136.0,7.56,1.0,4.0,1.0,12.0,0.0,0.0,244.7,707,50,65.0,,209.1,0.69009900990099,37.6,1.2129032258064516,2.2142857142857144,2.088888888888889,0.3461103253182461,2024,"(30, 40]","(286, 312]"
16,DE'VON ACHANE,MIA,23.0,17.0,16.0,203.0,907.0,4.47,6.0,87.0,78.0,592.0,7.59,6.0,1.0,0.0,12.0,0.0,0.0,299.9,704,41,61.9,,126.7,0.6241379310344828,173.2,1.9908045977011493,5.117647058823529,2.22051282051282,0.4259943181818181,2024,"(80, 90]","(182, 208]"
20,JAMES CONNER,ARI,29.0,16.0,16.0,236.0,1094.0,4.64,8.0,55.0,47.0,414.0,8.81,1.0,4.0,1.0,9.0,2.0,0.0,253.8,619,38,60.0,,157.4,0.6669491525423729,94.4,1.7163636363636363,3.4375,2.008510638297873,0.410016155088853,2024,"(50, 60]","(234, 260]"
21,JOE MIXON,HOU,28.0,14.0,14.0,245.0,1016.0,4.15,11.0,52.0,36.0,309.0,8.58,1.0,0.0,0.0,12.0,0.0,0.0,240.5,557,39,50.3,0.0,167.60000000000002,0.6840816326530613,72.9,1.401923076923077,3.7142857142857135,2.0250000000000004,0.4317773788150807,2024,"(50, 60]","(234, 260]"
24,CHASE BROWN,CIN,24.0,16.0,10.0,229.0,990.0,4.32,7.0,65.0,54.0,360.0,6.67,4.0,2.0,1.0,11.0,1.0,0.0,255.0,687,42,60.4,,141.0,0.6157205240174672,114.0,1.7538461538461538,4.0625,2.111111111111111,0.37117903930131,2024,"(60, 70]","(208, 234]"
26,CHUBA HUBBARD,CAR,25.0,15.0,15.0,250.0,1195.0,4.78,10.0,54.0,43.0,171.0,3.98,1.0,4.0,3.0,11.0,1.0,0.0,241.6,712,47,77.4,,179.5,0.718,66.1,1.224074074074074,3.6,1.5372093023255813,0.3393258426966292,2024,"(50, 60]","(234, 260]"
29,BUCKY IRVING,TAM,22.0,17.0,3.0,207.0,1122.0,5.42,8.0,52.0,47.0,392.0,8.34,0.0,2.0,1.0,8.0,0.0,0.0,244.4,516,30,45.2,,160.2,0.7739130434782608,86.2,1.6576923076923078,3.0588235294117645,1.8340425531914892,0.4736434108527131,2024,"(50, 60]","(182, 208]"
30,ALVIN KAMARA,NOR,29.0,14.0,14.0,228.0,950.0,4.17,6.0,89.0,68.0,543.0,7.99,2.0,1.0,0.0,8.0,0.0,0.0,265.3,641,45,58.9,,131.0,0.5745614035087719,134.3,1.508988764044944,6.357142857142857,1.975,0.4138845553822153,2024,"(80, 90]","(208, 234]"
