,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,PPR_Yards_Only
4,JA'MARR CHASE,CIN,24.0,17.0,16.0,3.0,32.0,10.67,0.0,175.0,127.0,1708.0,13.45,17.0,0.0,0.0,17.0,0.0,0.0,403.0,1054,62,92.7,,3.2,1.0666666666666669,399.8,2.2845714285714287,10.294117647058824,3.148031496062992,0.3823529411764705,2024,170.8
11,JUSTIN JEFFERSON,MIN,25.0,17.0,17.0,1.0,3.0,3.0,0.0,154.0,103.0,1533.0,14.88,10.0,1.0,0.0,10.0,0.0,0.0,317.5,1043,61,93.4,0.88,0.3,0.3,316.3,2.053896103896104,9.058823529411764,3.070873786407767,0.3044103547459252,2024,153.3
17,AMON-RA ST BROWN,DET,25.0,17.0,17.0,2.0,6.0,3.0,0.0,141.0,115.0,1263.0,10.98,12.0,1.0,1.0,12.0,0.0,0.0,316.2,1010,59,88.1,4.28,0.6000000000000001,0.3,313.3,2.221985815602837,8.294117647058824,2.7243478260869565,0.313069306930693,2024,126.30000000000001
18,BRIAN THOMAS,JAX,22.0,17.0,16.0,6.0,48.0,8.0,0.0,133.0,87.0,1282.0,14.74,10.0,0.0,0.0,10.0,2.0,0.0,284.0,821,48,79.5,,4.800000000000001,0.8000000000000002,275.20000000000005,2.069172932330827,7.823529411764706,3.163218390804598,0.3459196102314251,2024,128.20000000000002
22,TERRY MCLAURIN,WAS,29.0,17.0,17.0,2.0,2.0,1.0,0.0,117.0,82.0,1096.0,13.37,13.0,1.0,1.0,13.0,0.0,0.0,267.8,935,55,80.4,,0.2,0.1,269.6,2.3042735042735045,6.882352941176471,3.2878048780487807,0.2864171122994652,2024,109.60000000000001
25,DRAKE LONDON,ATL,23.0,17.0,17.0,1.0,-3.0,-3.0,0.0,158.0,100.0,1271.0,12.71,9.0,0.0,0.0,9.0,0.0,0.0,280.8,973,60,90.3,,-0.3,-0.3,281.1,1.779113924050633,9.294117647058824,2.8110000000000004,0.2885919835560123,2024,127.10000000000001
34,MIKE EVANS,TAM,31.0,14.0,14.0,0.0,0.0,,0.0,110.0,74.0,1004.0,13.57,11.0,0.0,0.0,11.0,0.0,0.0,240.4,671,47,58.8,,0.0,,240.4,2.185454545454545,7.857142857142857,3.2486486486486488,0.3582712369597615,2024,100.4
36,MALIK NABERS,NYG,21.0,15.0,13.0,5.0,2.0,0.4,0.0,170.0,109.0,1204.0,11.05,7.0,1.0,0.0,7.0,1.0,0.0,273.6,886,59,78.8,0.0,0.2,0.04,271.4,1.596470588235294,11.333333333333334,2.489908256880734,0.308803611738149,2024,120.4
39,CEEDEE LAMB,DAL,25.0,15.0,15.0,14.0,70.0,5.0,0.0,152.0,101.0,1194.0,11.82,6.0,1.0,1.0,6.0,1.0,0.0,263.4,826,55,80.1,,7.0,0.5,256.4,1.6868421052631577,10.133333333333333,2.538613861386138,0.3188861985472154,2024,119.4
41,COURTLAND SUTTON,DEN,29.0,17.0,13.0,0.0,0.0,,0.0,135.0,81.0,1081.0,13.35,8.0,1.0,1.0,8.0,0.0,0.0,240.3,936,55,84.9,2.6,0.0,,237.1,1.7562962962962965,7.9411764705882355,2.9271604938271607,0.2567307692307692,2024,108.10000000000001
42,LADD MCCONKEY,LAC,23.0,16.0,14.0,0.0,0.0,,0.0,112.0,82.0,1149.0,14.01,7.0,2.0,0.0,7.0,1.0,0.0,240.9,735,45,68.9,,0.0,,238.9,2.133035714285714,7.0,2.9134146341463416,0.3277551020408163,2024,114.9
45,DAVANTE ADAMS,2TM,32.0,14.0,14.0,0.0,0.0,,0.0,141.0,85.0,1063.0,12.51,8.0,0.0,0.0,8.0,1.0,0.0,241.3,792,56,75.1,,0.0,,239.3,1.697163120567376,10.071428571428571,2.815294117647059,0.3046717171717172,2024,106.30000000000001
47,JAMESON WILLIAMS,DET,23.0,15.0,11.0,11.0,61.0,5.55,1.0,91.0,58.0,1001.0,17.26,7.0,0.0,0.0,8.0,0.0,0.0,212.2,826,55,79.3,,12.1,1.1,200.1,2.198901098901099,6.066666666666666,3.45,0.2569007263922518,2024,100.10000000000001
49,JAXON SMITH-NJIGBA,SEA,22.0,17.0,16.0,5.0,26.0,5.2,0.0,137.0,100.0,1130.0,11.3,6.0,1.0,0.0,6.0,0.0,0.0,253.0,948,55,86.2,1.4,2.6,0.52,249.0,1.8175182481751824,8.058823529411764,2.49,0.2668776371308017,2024,113.0
50,JERRY JEUDY,CLE,25.0,17.0,16.0,0.0,0.0,,0.0,145.0,90.0,1229.0,13.66,4.0,0.0,0.0,4.0,2.0,0.0,240.9,1061,62,89.9,,0.0,,236.9,1.633793103448276,8.529411764705882,2.6322222222222225,0.2270499528746465,2024,122.9
